Chapter,Section No.,Section,Sub-Section,Summary,Action Item,Deadline,Role Assigned To
I - Preliminary,1,Short Title & Commencement,"a. These Directions shall be called the Reserve Bank of India (Outsourcing of Information Technology Services) Directions, 2023.",The Directions establish the title and commencement date for the outsourcing guidelines.,No action item found,No deadline found
,,,"b. These Directions shall come into effect from October 1, 2023.",The effective date for compliance with the Directions is set.,No action item found,No deadline found
,,,I. Existing outsourcing arrangements must comply with the new provisions by specified deadlines.,Existing agreements must align with the new provisions by their renewal dates.,Ensure all existing agreements are reviewed for compliance.,Before renewal date
,,,II. New outsourcing arrangements must comply with the provisions from their agreement date.,New agreements must comply with the Directions from the date they are signed.,Review all new agreements for compliance with the Directions.,Ongoing
,2,Applicability,(a) These Directions apply to various regulated entities including banks and financial institutions.,The Directions are applicable to a range of regulated entities.,Ensure all relevant entities are informed about the applicability of these Directions.,No deadline found
,,,(b) Foreign banks must comply with a 'comply or explain' approach regarding the Directions.,Foreign banks have specific compliance requirements under the Directions.,Monitor compliance of foreign banks with the 'comply or explain' approach.,Ongoing
,,,(c) The Directions apply to Material Outsourcing of IT Services arrangements.,The scope of the Directions includes specific IT service outsourcing arrangements.,Identify and categorize all Material Outsourcing of IT Services arrangements.,No deadline found
,3,Definitions (a),"(i) ""Group"" is defined as per existing RBI guidelines.",Definitions clarify terms used in the Directions.,No action item found,No deadline found
,,,"(ii) ""Material Outsourcing of IT Services"" is defined based on impact on business operations and customer information.",Material outsourcing is defined by its potential impact on operations and customer data security.,Assess all outsourcing arrangements to determine if they qualify as Material Outsourcing.,Ongoing
,,,"(iv) ""Outsourcing of IT Services"" includes various IT-related activities.",The definition encompasses a wide range of IT services that can be outsourced.,Review current IT services to identify those that can be outsourced.,No deadline found
,,,"(v) ""Service Provider"" refers to entities providing IT services, including those related to the RE.",Clarifies who qualifies as a service provider under the Directions.,Ensure all service providers are evaluated for compliance with the Directions.,Ongoing
,,Definition (b),b) All expressions not defined herein shall have meanings assigned under relevant acts.,Definitions align with existing legal frameworks.,No action item found,No deadline found
