Document_ID,Chapter,Section,Sub Section,Description,Compliance_Requirements,Due date,Applicability,Role Assigned To,Summary,Action Item
DPSC_-_Digital_Payment_Security_Controls,I - Preliminary,Short Title and Commencement,"a) These directions shall be called the Reserve Bank of India (Digital Payment Security Controls) directions, 2021.","a) These directions shall be called the Reserve Bank of India (Digital Payment Security Controls) directions, 2021.",Compliance required,N/A,Regulated Entities,Compliance Team,The Reserve Bank of India has issued the Digital Payment Security Controls directions for 2021.,Review and implement the specified security controls outlined in the directions.
DPSC_-_Digital_Payment_Security_Controls,I - Preliminary,Short Title and Commencement,"b) These directions shall come into effect six months from the day they are placed on the official website of the Reserve Bank of India (RBI). However, in respect of instructions already issued either by Department of Payment and Settlement Systems (DPSS), Department of Regulation (DoR) or Department of Supervision (DoS) of RBI including those to select Regulated Entities (REs), by way of circular or advisory, the timeline would be with immediate effect or as per the timelines already prescribed.","b) These directions shall come into effect six months from the day they are placed on the official website of the Reserve Bank of India (RBI). However, in respect of instructions already issued either by Department of Payment and Settlement Systems (DPSS), Department of Regulation (DoR) or Department of Supervision (DoS) of RBI including those to select Regulated Entities (REs), by way of circular or advisory, the timeline would be with immediate effect or as per the timelines already prescribed.",Compliance required,2024-04-15,Regulated Entities,Compliance Team,"The new directions from RBI will take effect six months after being posted on its official website, while existing instructions are effective immediately or as previously specified.",Monitor the RBI official website for the posting date and ensure compliance with the new directions within six months.
DPSC_-_Digital_Payment_Security_Controls,I - Preliminary,Applicability,a) Scheduled Commercial Banks (excluding Regional Rural Banks);,a) Scheduled Commercial Banks (excluding Regional Rural Banks);,Compliance required,N/A,Regulated Entities,Compliance Team,Scheduled Commercial Banks must comply with relevant regulations.,Review and ensure adherence to applicable regulations for Scheduled Commercial Banks.
DPSC_-_Digital_Payment_Security_Controls,I - Preliminary,Applicability,b) Small Finance Banks;,b) Small Finance Banks;,Compliance required,N/A,Regulated Entities,Compliance Team,Small Finance Banks are required to adhere to specified compliance measures.,Review and implement necessary compliance protocols for Small Finance Banks.
DPSC_-_Digital_Payment_Security_Controls,I - Preliminary,Applicability,c) Payments Banks;,c) Payments Banks;,Compliance required,N/A,Regulated Entities,Compliance Team,Payments banks must adhere to specified regulatory guidelines and requirements.,Review and update compliance protocols to align with regulatory requirements for payments banks.
DPSC_-_Digital_Payment_Security_Controls,I - Preliminary,Applicability,d) Credit card issuing NBFCs.,d) Credit card issuing NBFCs.,Compliance required,N/A,Regulated Entities,Compliance Team,Credit card issuing NBFCs must adhere to specific compliance requirements.,Review and ensure compliance with applicable regulations for credit card issuance.
DPSC_-_Digital_Payment_Security_Controls,I - Preliminary,Definitions,"All expressions unless defined herein shall have the same meaning as have been assigned to them under the Banking Regulation Act, 1949, Reserve Bank of India Act, 1934, Payment and Settlement Systems Act, 2007 or Information Technology Act, 2000/ Information Technology (Amendment) Act, 2008 and Rules made thereunder, any statutory modification or re-enactment thereto or as used in commercial parlance, as the case may be.","All expressions unless defined herein shall have the same meaning as have been assigned to them under the Banking Regulation Act, 1949, Reserve Bank of India Act, 1934, Payment and Settlement Systems Act, 2007 or Information Technology Act, 2000/ Information Technology (Amendment) Act, 2008 and Rules made thereunder, any statutory modification or re-enactment thereto or as used in commercial parlance, as the case may be.",Compliance required,N/A,Regulated Entities,Compliance Team,Terms used must align with definitions from specific banking and technology regulations and acts.,Review and update all internal documents to ensure compliance with the defined terms.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Governance and Management of Security Risks,"REs shall formulate a policy for digital payment products and services with the approval of their Board. The contours of the policy, while discussing the parameters of any “new product” including its alignment with the overall business strategy and inherent risk of the product, risk management/mitigation measures, compliance with regulatory instructions, customer experience, etc., should explicitly discuss about payment security requirements from Functionality, Security and Performance (FSP) angles such as:","REs shall formulate a policy for digital payment products and services with the approval of their Board. The contours of the policy, while discussing the parameters of any “new product” including its alignment with the overall business strategy and inherent risk of the product, risk management/mitigation measures, compliance with regulatory instructions, customer experience, etc., should explicitly discuss about payment security requirements from Functionality, Security and Performance (FSP) angles such as:",Compliance required,N/A,Regulated Entities,Compliance Team,"Entities must develop a board-approved policy for digital payment products, ensuring it covers risk management, compliance, and payment security requirements.",Formulate and obtain board approval for the digital payment policy.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Governance and Management of Security Risks,a) Necessary controls to protect the confidentiality of customer data and integrity of data and processes associated with the digital product/services offered;,a) Necessary controls to protect the confidentiality of customer data and integrity of data and processes associated with the digital product/services offered;,Compliance required,N/A,Regulated Entities,Compliance Team,Controls must be established to ensure the confidentiality and integrity of customer data in digital services.,Implement necessary data protection controls as per regulatory standards.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Governance and Management of Security Risks,"b) Availability of requisite infrastructure e.g. human resources, technology, etc. with necessary backup;","b) Availability of requisite infrastructure e.g. human resources, technology, etc. with necessary backup;",Compliance required,N/A,Regulated Entities,Compliance Team,"Organizations are required to ensure that necessary infrastructure, including human resources and technology, is available and backed up.",Assess and secure the availability of required infrastructure by conducting an evaluation of current resources.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Governance and Management of Security Risks,"c) Assurance that the payment product is built in a secure manner offering robust performance ensuring safety, consistency and rolled out after necessary testing for achieving desired FSP;","c) Assurance that the payment product is built in a secure manner offering robust performance ensuring safety, consistency and rolled out after necessary testing for achieving desired FSP;",Compliance required,N/A,Regulated Entities,Compliance Team,Payment products must be developed securely with rigorous testing for effective financial service performance.,Implement a comprehensive testing protocol to ensure product security and performance before launch.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Governance and Management of Security Risks,d) Capacity building and expansion with scalability (to meet the growth for efficient transaction processing);,d) Capacity building and expansion with scalability (to meet the growth for efficient transaction processing);,Compliance required,N/A,Regulated Entities,Compliance Team,Organizations need to enhance their capacity for scalable transaction processing to accommodate growth.,Develop and implement a capacity-building plan focused on scalability for transaction processing.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Governance and Management of Security Risks,e) Minimal customer service disruption with high availability of systems/channels (to have minimal technical declines);,e) Minimal customer service disruption with high availability of systems/channels (to have minimal technical declines);,Compliance required,N/A,Regulated Entities,Compliance Team,Ensure high availability of systems/channels to minimize customer service disruptions.,Assess and enhance system resilience to reduce technical declines.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Governance and Management of Security Risks,f) Efficient and effective dispute resolution mechanism and handling of customer grievance; and,f) Efficient and effective dispute resolution mechanism and handling of customer grievance; and,Compliance required,2024-03-31,Regulated Entities,Compliance Team,A mechanism for effective dispute resolution and customer grievance handling must be established.,Develop and implement a comprehensive dispute resolution process by Q1 2024.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Governance and Management of Security Risks,"g) Adequate and appropriate review mechanism followed by swift corrective action, in case any one of the above requirements is hampered or having high potential to get hampered.","g) Adequate and appropriate review mechanism followed by swift corrective action, in case any one of the above requirements is hampered or having high potential to get hampered.",Compliance required,2024-01-31,Regulated Entities,Compliance Team,A review mechanism must be established for addressing compliance issues swiftly.,Implement a review mechanism and corrective action plan for compliance monitoring by next quarter.
DPSC_-_Digital_Payment_Security_Controls,II - General Controls,Risk Management Processes,"REs shall incorporate appropriate processes into their governance and risk management programs for identifying, analysing, monitoring and managing the specific risks, including compliance risk and fraud risk, associated with the portfolio of digital payment products and services on a continual basis and in a holistic manner. The Board/Senior Management of REs shall have appropriate performance monitoring systems/key performance indicators for assessing whether the product or service offered through digital payment channels meet operational and security norms.","REs shall incorporate appropriate processes into their governance and risk management programs for identifying, analysing, monitoring and managing the specific risks, including compliance risk and fraud risk, associated with the portfolio of digital payment products and services on a continual basis and in a holistic manner. The Board/Senior Management of REs shall have appropriate performance monitoring systems/key performance indicators for assessing whether the product or service offered through digital payment channels meet operational and security norms.",Compliance required,N/A,Regulated Entities,Compliance Team,Organizations must establish processes to manage risks associated with digital payment products and ensure monitoring systems are in place.,Develop and implement a risk management program that includes performance indicators for digital payment channels.
