Document ID,Chapter,Section No.,Section,Sub-Section,Summary,Action Item,Due date,Periodicity,Marked as Completed,Work Status,Role Assigned To
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,I - Preliminary,1,Short Title and Commencement,"- a) These directions shall be called the Reserve Bank of India (Digital Payment Security Controls) directions, 2021. - b) These directions shall come into effect six months from the day they are placed on the official website of the Reserve Bank of India (RBI). However, in respect of instructions already issued either by Department of Payment and Settlement Systems (DPSS), Department of Regulation (DoR) or Department of Supervision (DoS) of RBI including those to select Regulated Entities (REs), by way of circular or advisory, the timeline would be with immediate effect or as per the timelines already prescribed.","The Reserve Bank of India (Digital Payment Security Controls) directions, 2021, take effect six months post-publication on the RBI website, with some instructions taking immediate effect.",Monitor the RBI website for the publication date and prepare for compliance as per the specified timelines.,N/A,one-time,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,I - Preliminary,2,Applicability,- a) Scheduled Commercial Banks (excluding Regional Rural Banks); - b) Small Finance Banks; - c) Payments Banks; - d) Credit card issuing NBFCs.,This section outlines the categories of financial institutions to which the regulations apply.,Identify and document your institution's eligibility under this classification.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,I - Preliminary,3,Definitions,"All expressions unless defined herein shall have the same meaning as have been assigned to them under the Banking Regulation Act, 1949, Reserve Bank of India Act, 1934, Payment and Settlement Systems Act, 2007 or Information Technology Act, 2000/ Information Technology (Amendment) Act, 2008 and Rules made thereunder, any statutory modification or re-enactment thereto or as used in commercial parlance, as the case may be.",Definitions provided in this section align with existing regulatory frameworks and common usage in commerce.,Ensure alignment of organizational terminology with definitions from relevant acts.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,II - General Controls,1,Governance and Management of Security Risks,"- REs shall formulate a policy for digital payment products and services with the approval of their Board. The contours of the policy, while discussing the parameters of any “new product” including its alignment with the overall business strategy and inherent risk of the product, risk management/mitigation measures, compliance with regulatory instructions, customer experience, etc., should explicitly discuss about payment security requirements from Functionality, Security and Performance (FSP) angles such as: - a) Necessary controls to protect the confidentiality of customer data and integrity of data and processes associated with the digital product/services offered. - b) Availability of requisite infrastructure e.g. human resources, technology, etc. with necessary back up. - c) Assurance that the payment product is built in a secure manner offering robust performance ensuring safety, consistency and rolled out after necessary testing for achieving desired FSP. - d) Capacity building and expansion with scalability (to meet the growth for efficient transaction processing). - e) Minimal customer service disruption with high availability of systems/channels (to have minimal technical declines). - f) Efficient and effective dispute resolution mechanism and handling of customer grievance. - g) Adequate and appropriate review mechanism followed by swift corrective action, in case any one of the above requirements is hampered or having high potential to get hampered. - The Board and Senior Management shall be responsible for implementation of this policy. The policy shall be reviewed periodically, at least on a yearly basis. REs may formulate this policy separately for its different digital products or include the same as part of their overall product policy. Further, the policy document should require that every digital payment product/services offered addresses the mechanics, clear definition of starting point, critical intermittent stages/points and end point in the digital payment cycle, security aspects, validations till the digital payment is settled, clear pictorial representation of digital path and exception handling. In addition, signing off of the above requirements, mechanism for carrying out User Acceptance Tests (UAT) in multiple stages before roll out, sign off from multiple stakeholders (post UAT) and data archival requirements shall also be taken in to account. The need for an external assessment of the entire process including the logic, build and security aspects of the application(s) supporting the digital product should be clearly articulated.","Organizations must formulate a Board-approved policy for digital payment products addressing security, infrastructure, performance, and compliance aspects, with an annual review requirement.","Draft and obtain Board approval for the digital payment policy, ensuring all required aspects are covered.",2026-05-25,annual,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,II - General Controls,2,Other Generic Security Controls,"- The communication protocol in the digital payment channels (especially over Internet) shall adhere to a secure standard. An appropriate level of encryption and security shall be implemented in the digital payment ecosystem. - Web applications providing the digital payment products and services should not store sensitive information in HTML hidden fields, cookies, or any other client-side storage to avoid any compromise in the integrity of the data. - REs shall implement Web Application Firewall (WAF) solution and DDoS mitigation techniques to secure the digital payment products and services offered over Internet.","Organizations must implement secure communication protocols, avoid storing sensitive information client-side, and deploy WAF and DDoS mitigation for digital payment services.",Ensure compliance by adopting secure standards and deploying necessary security measures for digital payment platforms.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,II - General Controls,3,Application Security Life Cycle (ASLC),"- REs shall implement multi-tier application architecture, segregating application, database and presentation layer in the digital payment products and services. - REs shall follow a ‘secure by design’ approach in the development of digital payment products and services. REs shall ensure that digital payment applications are inherently more secure by embedding security within their development lifecycle.",REs must implement multi-tier architecture and a secure by design approach for digital payment applications.,Develop and integrate security measures into the application lifecycle of digital payment products.,N/A,ongoing,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,II - General Controls,4,Authentication Framework,"- In view of the proliferation of cyber-attacks and their potential consequences, REs should implement, except where explicitly permitted/relaxed, multi-factor authentication for payments through electronic modes and fund transfers, including cash withdrawals from ATMs/micro-ATMs/business correspondents, through digital payment applications. At least one of the authentication methodologies should be generally dynamic or non-replicable. [e.g., Use of One Time Password, mobile devices (device binding and SIM), biometric/PKI/hardware tokens, EMV chip card (for Card Present Transactions) with server-side verification could be termed either in dynamic or non-replicable methodologies.].",Organizations must implement multi-factor authentication for electronic payments and fund transfers to mitigate cyber-attack risks.,"Deploy multi-factor authentication mechanisms, including at least one dynamic or non-replicable method, by the specified deadline.",N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,II - General Controls,5,Fraud Risk Management,"- The REs shall document and implement the configuration aspects for identifying suspicious transactional behaviour in respect of rules, preventive, detective types of controls, mechanism to alert the customers in case of failed authentication, time frame for the same, etc.","REs must document and implement configurations for identifying suspicious transactions, including alert mechanisms for customers on failed authentications.",Document the configuration for suspicious transaction identification and implement alert mechanisms for failed authentications.,N/A,N/A,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,II - General Controls,6,Reconciliation Mechanism,"- A real time/near-real time (not later than 24 hours from the time of receipt of settlement file(s)) reconciliation framework for all digital payment transactions between RE and all other stakeholders such as payment system operators, business correspondents, card networks, payment system processors, payment aggregators, payment gateways, third party technology service providers, other participants, etc., shall be put in place for better detection and prevention of suspicious transactions. A mechanism shall be introduced to monitor the implementation and effectiveness of such framework.",A reconciliation framework must be established for digital payment transactions within 24 hours of receipt to enhance fraud detection and monitoring.,Implement a real-time reconciliation mechanism for all digital payment transactions within the specified timeframe.,2025-05-26,one-time,No,Not Started,
DPSC_-_Digital_Payment_Security_Controls_20250525161123_64212ad2-2ca1-49b1-8332-fd75275decd0,II - General Controls,7,"Customer Protection, Awareness and Grievance Redressal Mechanism","- REs shall incorporate secure, safe and responsible usage guidelines and training materials for end users within the digital payment applications. They shall also make it mandatory (i.e. not providing any option to circumvent/avoid the material) for the consumer to go through secure usage guidelines (even in the consumer’s preferred language) while obtaining and recording confirmation during the on-boarding procedure in the first instance and first use after each update of the digital payment application or after major updates to secure and safe usage guidelines.",Organizations must provide secure usage guidelines and mandatory training materials for users of digital payment applications during onboarding and after major updates.,Implement secure usage guidelines and ensure mandatory user confirmation during onboarding and post-updates.,N/A,N/A,No,Not Started,
