Document ID,Chapter,Section No.,Section,Sub-Section,Summary,Action Item,Due date,Periodicity,Marked as Completed,Work Status,Role Assigned To,Document Summary,Document Action Item
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Main Document,1,Introduction,,N/A,N/A,N/A,N/A,No,Not Started,,"The document outlines the ""Master Direction on Digital Payment Security Controls"" issued by the Reserve Bank of India (RBI) to strengthen security frameworks around digital payment systems. It emphasizes the critical importance of secure governance structures and the implementation of uniform security controls for various digital payment channels including internet banking, mobile payments, and card transactions. The document is applicable to all regulated entities including scheduled commercial banks, small finance banks, payments banks, and credit card issuing NBFCs. 

The directive begins with an introduction that establishes the regulatory framework and the necessity of these guidelines in light of the growing reliance on digital payment methods in India. It lays out detailed provisions that require institutions to formulate security policies approved by their boards, identifying specifying security risks and compliance requirements. Key elements highlighted include the necessity for organizations to conduct periodic risk assessments, establish robust internal controls, and ensure adequate training for their personnel in managing the digital payment infrastructure. 

Specific controls are prescribed across various categories, including governance, general security protocols, internet banking, mobile application security, and card payment security. Requirements for data protection, encryption standards, multi-factor authentication methods, fraud risk management, and customer protection mechanisms are delineated throughout the document. In particular, there are clear mandates on the secure handling of customer data and procedures for reporting and addressing grievances.

To reinforce security, the guidelines encourage regulated entities to adopt a ""secure by design"" approach, integrate regular testing of their security measures, and keep abreast of their payment systems' resilience against cyber threats and incidents. Further recommendations cover the incorporation of advanced technologies for monitoring suspicious activities and alerting customers promptly about potential security breaches.

The document clearly delineates the responsibilities of senior management in executing these requirements, emphasizing a culture of compliance that is responsive to emerging risks in digital payment security.","- Establish a robust digital payment security policy approved by the Board, addressing specific security controls and risk management measures.
- Conduct comprehensive risk assessments on digital payment products, incorporating fraud risk management and compliance mechanisms.
- Implement multi-factor authentication for all digital payment transactions without exception, ensuring secure authentication methods.
- Develop a grievance redressal mechanism to address customer complaints on digital payment services efficiently.
- Ensure all personnel handling digital payment infrastructure are adequately trained on security controls and risk management practices.
- Periodically review and test the effectiveness of security controls, including data encryption, and safeguard customer information during transactions.
- Monitor and address suspicious transaction behavior through defined parameters and alert systems as per the outlined security controls."
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter I - Preliminary,1,Short Title and Commencement,"- a) These directions shall be called the Reserve Bank of India ( Digital Payment Security Controls) directions, 2021 - b) These directions shall come into effect six months from the day they are placed on the official website of the Reserve Bank of India (RBI) . However, in respect of instructions already issued either by Department of Payment and Settlement Systems (DPSS), Department of Regulation (DoR) or Department of Supervision (DoS) of RBI including those to select Regulated Entities (REs), by way of circular or advisory, the timeline would be with immediate effect or as per the timelines already prescribed.","The Reserve Bank of India (Digital Payment Security Controls) directions, 2021, become effective six months after publication on the RBI website, while existing instructions take effect immediately or as previously stated.",Monitor the RBI website for the publication date and prepare for implementation of the directions.,2024-11-26,one-time,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter I - Preliminary,2,Applicability,- a) Scheduled Commercial Banks (excluding Regional Rural Banks); - b) Small Finance Banks; - c) Payments Banks; and - d) Credit card issuing NBFCs.,"The regulations apply specifically to Scheduled Commercial Banks, Small Finance Banks, Payments Banks, and Credit card issuing Non-Banking Financial Companies (NBFCs).",Identify and document compliance requirements specific to the mentioned categories of banks and NBFCs.,N/A,N/A,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter I - Preliminary,3,Definitions,"All expressions unless defined herein shall have the same meaning as have been assigned to them under the Banking Regulation Act, 1949, Reserve Bank of India Act, 1934, Payment and Settlement Systems Act, 2007 or Information Technology Act, 2000/ Information Technology (Amendment) Act, 2008 and Rules made thereunder, any statutory modification or re-enactment thereto or as used in commercial parlance, as the case may be.",Definitions in this section align with terms used in various specified acts and regulations.,Ensure alignment of organizational terminology with the provided acts for compliance purposes.,N/A,N/A,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter II - General Controls,1,Governance and Management of Security Risks,"- REs shall formulate a policy for digital payment products and services with the approval of their Board. The contours of the policy, while discussing the parameters of any “new product” including its alignment with the overall business strategy and inherent risk of the product, risk management/ mitigation measures, compliance with regulatory instructions, customer experience, etc., should explicitly discuss about payment security requirements from Functionality, Security and Performance (FSP) angles such as: - a) Necessary controls to protect the confidentiality of customer data and integrity of data and processes associated with the digital product/ services offered; - b) Availability of requisite infrastructure e.g. human resources, technology, etc. with necessary back up; - c) Assurance that the payment product is built in a secure manner offering robust performance ensuring safety, consistency and rolled out after necessary testing for achieving desired FSP; - d) Capacity building and expansion with scalability (to meet the growth for efficient transaction processing); - e) Minimal customer service disruption with high availability of systems/ channels (to have minimal technical declines); - f) Efficient and effective dispute resolution mechanism and handling of customer grievance; and - g) Adequate and appropriate review mechanism followed by swift corrective action, in case any one of the above requirements is hampered or having high potential to get hampered. The Board and Senior Management shall be responsible for implementation of this policy. The policy shall be reviewed periodically, at least on a yearly basis. REs may formulate this policy separately for its different digital products or include the same as part of their overall product policy. Further, the policy document should require that every digital payment product/ services offered addresses the mechanics, clear definition of starting point, critical intermittent stages/ points and end point in the digital payment cycle, security aspects, validations till the digital payment is settled, clear pictorial representation of digital path and exception handling. In addition, signing off of the above requirements, mechanism for carrying out User Acceptance Tests (UAT) in multiple stages before roll out, sign off from multiple stakeholders (post UAT) and data archival requirements shall also be taken into account. The need for an external assessment of the entire process including the logic, build and security aspects of the application(s) supporting the digital product should be clearly articulated.","Regulated Entities (REs) must develop and periodically review a comprehensive policy for digital payment products that addresses security, infrastructure, customer service, testing, and dispute resolution with Board approval.",Formulate and get Board approval for a digital payment policy that covers all specified security and operational requirements.,2026-05-26,annual,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter II - General Controls,2,Other Generic Security Controls,"- The communication protocol in the digital payment channels (especially over Internet) shall adhere to a secure standard. An appropriate level of encryption and security shall be implemented in the digital payment ecosystem. - Web applications providing the digital payment products and services should not store sensitive information in HTML hidden fields, cookies, or any other client-side storage to avoid any compromise in the integrity of the data. - REs shall implement Web Application Firewall (WAF) solution and DDoS mitigation techniques to secure the digital payment products and services offered over Internet. - The key length (for symmetric/ asymmetric encryption, hashing), algorithms (for encryption, signing, exchange of keys, creation of message digest, random number generators), cipher suites, digital certificates and applicable protocols used in transmission channels, processing of data, authentication purpose, shall be strong, adopting internationally accepted and published standards that are not deprecated/ demonstrated to be insecure/ vulnerable and the configurations involved in implementing such controls are in general, compliant with extant instructions and the law of the land. - REs shall renew their digital certificates used in the digital payment ecosystem well in time. - The mobile application and internet banking application should have effective logging and monitoring capabilities to track user activity, security changes and identify anomalous behaviour and transactions.","Organizations must implement secure communication protocols, enforce stringent data protection measures, utilize Web Application Firewalls, adhere to strong encryption standards, timely renew digital certificates, and maintain effective logging in digital payment systems.","Ensure all digital payment applications comply with security protocols, including encryption standards and logging requirements by conducting an audit.",2025-11-26,ongoing,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter II - General Controls,3,Application Security Life Cycle (ASLC),"- REs shall implement multi-tier application architecture, segregating application, database and presentation layer in the digital payment products and services. - REs shall follow a ‘secure by design’ approach in the development of digital payment products and services. REs shall ensure that digital payment applications are inherently more secure by embedding security within their development lifecycle.","REs must implement a multi-tier application architecture and adopt a 'secure by design' approach in developing digital payment products, ensuring security is embedded throughout the development lifecycle.",Establish a multi-tier application architecture and integrate security practices in the development lifecycle of digital payment products.,N/A,N/A,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter II - General Controls,4,Authentication Framework,"- In view of the proliferation of cyber-attacks and their potential consequences, REs should implement, except where explicitly permitted/ relaxed, multi-factor authentication for payments through electronic modes and fund transfers, including cash withdrawals from ATMs/ micro-ATMs/ business correspondents, through digital payment applications. At least one of the authentication methodologies should be generally dynamic or non-replicable. [e.g., Use of One Time Password, mobile devices (device binding and SIM), biometric/ PKI/ hardware tokens, EMV chip card (for Card Present Transactions) with server-side verification could be termed either in dynamic or non-replicable methodologies.] - REs may also adopt adaptive authentication to select the right authentication factors depending on risk assessment, user risk profile and behaviour. Properly designed and implemented multi-factor authentication methods are more reliable and stronger fraud deterrents and are more difficult to compromise. The key objectives of multi-factor authentication are to protect the confidentiality of payment data as well as enhance confidence in digital payment by combating various cyber-attack mechanisms like phishing, keylogging, spyware/ malware and other internet-based frauds targeted at REs and their customers.",Regulated Entities (REs) must implement multi-factor authentication for electronic payments and fund transfers to enhance security against cyber-attacks.,Deploy multi-factor authentication for all electronic payments and fund transfers by incorporating at least one dynamic or non-replicable method.,2025-11-26,ongoing,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter II - General Controls,5,Fraud Risk Management,"- The REs shall document and implement the configuration aspects for identifying suspicious transactional behaviour in respect of rules, preventive, detective types of controls, mechanism to alert the customers in case of failed authentication, time frame for the same, etc. - System alerts shall be parameterised and monitored in terms of various applicable parameters. Such parameters, as applicable could be: transaction velocity (e.g., fund transfers, cash withdrawals, payments through electronic modes, adding new beneficiaries, etc.) in a short period, more so in the accounts of customers who’ve never used mobile app/ internet banking / card ever (depending upon the type of payment channel), high risk merchant category codes (MCC) parameters, counterfeit card parameters (String of Invalid CVV/ PINs indicates an account generation attack), new account parameters (excessive activity on a new account), time zones, geo-locations, IP address origin (in respect of unusual patterns, prohibited zones/ rogue IPs), behavioural biometrics, transaction origination from point of compromise, transactions to mobile wallets / mobile numbers / VPAs on whom vishing fraud or other types of fraud is/are registered/ recorded, declined transactions, transactions with no approval code, etc.",Organizations must document and implement configurations to identify suspicious transactional behavior and establish alert mechanisms for customers regarding failed authentication.,Develop and implement a system for monitoring and alerting on suspicious transactional activity as outlined.,N/A,N/A,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250526140458_6fdeafdf-6190-4f9c-9bb9-ffe98d92abf3,Chapter II - General Controls,6,Reconciliation Mechanism,"A real time/ near-real time (not later than 24 hours from the time of receipt of settlement file(s)) reconciliation framework for all digital payment transactions between RE and all other stakeholders such as payment system operators, business correspondents, card networks, payment system processors, payment aggregators, payment gateways, third party technology service providers, other participants, etc., shall be put in place for better detection and prevention of suspicious transactions. A mechanism shall be introduced to monitor the implementation and effectiveness of such framework.",Organizations must establish a real-time reconciliation framework for digital payment transactions within 24 hours of receiving settlement files to enhance detection and prevention of suspicious transactions.,Implement a real-time reconciliation mechanism for all digital payment transactions by integrating processes with relevant stakeholders.,2025-05-27,ongoing,No,Not Started,,,
