Document ID,Chapter,Section No.,Section,Sub-Section,Summary,Action Item,Due date,Periodicity,Marked as Completed,Work Status,Role Assigned To,Document Summary,Document Action Item
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,Preliminary,1,Short Title and Commencement,"- 1.a These directions shall be called the Reserve Bank of India (Digital Payment Security Controls) directions, 2021. - 1.b These directions shall come into effect six months from the day they are placed on the official website of the Reserve Bank of India (RBI). However, in respect of instructions already issued either by Department of Payment and Settlement Systems (DPSS), Department of Regulation (DoR) or Department of Supervision (DoS) of RBI including those to select Regulated Entities (REs), by way of circular or advisory, the timeline would be with immediate effect or as per the timelines already prescribed.","The Reserve Bank of India (Digital Payment Security Controls) directions, 2021, take effect six months after being posted on the RBI's official website, with certain existing instructions effective immediately.","Monitor the RBI's official website for the publication of the directions, and ensure compliance with existing instructions immediately.",N/A,one-time,No,Not Started,,"The document outlines regulatory requirements, but specific details could not be extracted due to formatting issues.",Conduct a manual review to identify and implement compliance actions.
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,Preliminary,2,Applicability,- 2.a The provisions of these directions shall apply to the following Regulated Entities (REs): - 2.a.i Scheduled Commercial Banks (excluding Regional Rural Banks); - 2.a.ii Small Finance Banks; - 2.a.iii Payments Banks; - 2.a.iv Credit card issuing NBFCs.,"The provisions apply to Scheduled Commercial Banks, Small Finance Banks, Payments Banks, and Credit card issuing NBFCs.",Verify if your organization qualifies as a Regulated Entity under these provisions.,N/A,N/A,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,Preliminary,3,Definitions,"- 3. All expressions unless defined herein shall have the same meaning as have been assigned to them under the Banking Regulation Act, 1949, Reserve Bank of India Act, 1934, Payment and Settlement Systems Act, 2007 or Information Technology Act, 2000/Information Technology (Amendment) Act, 2008 and Rules made thereunder, any statutory modification or re-enactment thereto or as used in commercial parlance, as the case may be.",Definitions provided refer to terms as per specified Indian regulatory acts and customary usage.,Ensure that all relevant terms are understood and utilized in compliance with referenced acts.,N/A,N/A,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,General Controls,4,Governance and Management of Security Risks,"- 4.REs shall formulate a policy for digital payment products and services with the approval of their Board. The contours of the policy, while discussing the parameters of any “new product” including its alignment with the overall business strategy and inherent risk of the product, risk management/mitigation measures, compliance with regulatory instructions, customer experience, etc., should explicitly discuss about payment security requirements from Functionality, Security and Performance (FSP) angles such as: - 4.a Necessary controls to protect the confidentiality of customer data and integrity of data and processes associated with the digital product/services offered; - 4.b Availability of requisite infrastructure e.g. human resources, technology, etc. with necessary back up; - 4.c Assurance that the payment product is built in a secure manner offering robust performance ensuring safety, consistency and rolled out after necessary testing for achieving desired FSP; - 4.d Capacity building and expansion with scalability (to meet the growth for efficient transaction processing); - 4.e Minimal customer service disruption with high availability of systems/channels (to have minimal technical declines); - 4.f Efficient and effective dispute resolution mechanism and handling of customer grievance; and - 4.g Adequate and appropriate review mechanism followed by swift corrective action, in case any one of the above requirements is hampered or having high potential to get hampered. The Board and Senior Management shall be responsible for implementation of this policy. The policy shall be reviewed periodically, at least on a yearly basis. REs may formulate this policy separately for its different digital products or include the same as part of their overall product policy. Further, the policy document should require that every digital payment product/services offered addresses the mechanics, clear definition of starting point, critical intermittent stages/points and end point in the digital payment cycle, security aspects, validations till the digital payment is settled, clear pictorial representation of digital path and exception handling. In addition, signing off of the above requirements, mechanism for carrying out User Acceptance Tests (UAT) in multiple stages before roll out, sign off from multiple stakeholders (post UAT) and data archival requirements shall also be taken into account. The need for an external assessment of the entire process including the logic, build and security aspects of the application(s) supporting the digital product should be clearly articulated.","Regulated Entities (REs) must create a comprehensive policy for digital payment products with Board approval, outlining security requirements and review mechanisms.",Develop and approve a digital payment policy addressing specified security and performance criteria by the Board.,N/A,annual,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,General Controls,5,Compliance Risk Management,"- 5.REs shall incorporate appropriate processes into their governance and risk management programs for identifying, analysing, monitoring and managing the specific risks, including compliance risk and fraud risk, associated with the portfolio of digital payment products and services on a continual basis and in a holistic manner. The Board/Senior Management of REs shall have appropriate performance monitoring systems/key performance indicators for assessing whether the product or service offered through digital payment channels meet operational and security norms.","Regulated entities must integrate processes for continuous identification, analysis, monitoring, and management of compliance and fraud risks related to digital payment products, with oversight from senior management using performance monitoring systems.",Establish and implement risk management processes and performance monitoring systems for digital payment services by executive oversight.,N/A,ongoing,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,General Controls,6,Security Risk Assessment,"- 6.As part of this process, the REs shall define product-level limits on the level of acceptable security risk, document specific security objectives and performance criteria including quantitative benchmarks for evaluating the success of the security built into the digital payment product or service, periodically compare actual results with projections and qualitative benchmarks to detect and address adverse trends or concerns in a timely manner and modify the business plan/strategy involving the product, when appropriate, based on the security performance of the product or service.","Organizations must define and document acceptable security risks, performance criteria, and benchmarks for digital payment products, while regularly comparing these metrics to actual outcomes to address any adverse trends promptly.","Establish product-level security risk limits and performance benchmarks, then implement a process for periodic evaluation.",N/A,ongoing,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,General Controls,7,Resource Management,"- 7.REs shall have trained resources with necessary expertise to manage the digital payment infrastructure. Wherever the REs are dependent on third party service providers, adequate oversight and controls for monitoring the activities of the third party personnel, in line with RBI guidelines on outsourcing, shall be put in place.",Reporting entities must ensure trained resources manage digital payment infrastructure and implement adequate oversight for third-party service provider activities as per RBI guidelines.,Establish a training program for resources and develop oversight protocols for third-party service providers.,N/A,N/A,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,General Controls,8,Risk Assessments,"- 8.REs shall conduct risk assessments with regard to the safety and security of digital payment products and associated processes and services as well as suitability and appropriateness of the same vis-à-vis the target users, both prior to establishing the service(s) and regularly thereafter. The risk assessment should take into account - 8.a The technology stack and solutions used; - 8.b Known vulnerabilities at each of the touchpoints of the digital product and the remedial action taken by the entity; - 8.c Dependence on third party service providers and oversight over such providers; - 8.d Risk arising out of integration of digital payment platform with other systems both internal and external to the RE, including core systems and systems of payment systems operators, etc.; - 8.e The customer experience, convenience and technology adoption required to use such products; - 8.f Reconciliation process; - 8.g Interoperability aspects; - 8.h Data storage, security and privacy protection as per extant laws/instructions; - 8.i Operational risk including fraud risk; - 8.j Business continuity and service availability; - 8.k Compliance with extant cyber security requirements; and - 8.l Compatibility aspects. Such assessment shall cover the surrounding ecosystem as well. The assessment of risks shall address the need to protect and secure payment data and evaluate the resilience of systems. The internal Risk and Control Self-Assessment (RCSA) exercise shall cover the risks (inherent) & controls vis-à-vis the probability and impact of threats to arrive at residual risk. In such an exercise, it is imperative for REs to maintain database of all systems and applications storing customer data in the payment ecosystem and compliance with applicable PCI standards in each of the systems (notwithstanding mandatory requirements of certification/standard accreditation).","REs must conduct comprehensive risk assessments of digital payment products and associated processes both before launching and regularly thereafter, considering various risk factors and compliance with PCI standards.",Establish a schedule for regular risk assessments of digital payment products and maintain a database of all systems storing customer data.,2025-11-27,ongoing,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,General Controls,9,Technology Evaluation,"- 9.REs shall evaluate the risks associated with the chosen technology platforms, application architecture, both on the server and client side. Further, REs should undertake a review of the risk scenarios and existing security measures based on incidents affecting their services, before any major change to the infrastructure or procedures is made or, when, any new threats are identified through risk monitoring activities. Further, unused or unwanted features of the platform should be closely controlled to minimize risk.","Organizations must evaluate risks of technology platforms and architecture, review existing security measures against incidents, and control unused features before major infrastructure changes or upon identifying new threats.",Conduct a comprehensive risk evaluation of current technology platforms and application architectures for potential threats.,N/A,ongoing,No,Not Started,,,
DPSC_-_Digital_Payment_Security_Controls_20250527182933_52a8cd2e-1649-4b9d-8e8c-65afb0eed79d,General Controls,10,Control Systems,"- 10.REs shall develop sound internal control systems and take into account the operational risk before offering digital payment products and related services. This would include ensuring that adequate safeguards are in place to protect integrity of data, customer confidentiality and security of data.","Entities must establish robust internal control systems to manage operational risk when offering digital payment products, ensuring data integrity and customer confidentiality.",Develop and implement an internal control system that includes safeguards for data integrity and security before launching digital payment services.,N/A,N/A,No,Not Started,,,
