Document_ID,Chapter,Section,Sub Section,Description,Compliance_Requirements,Due date,Applicability,Role Assigned To,Summary,Action Item
IT_Outsourcing,I - Preliminary,Short title and Commencement,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,I - Preliminary,Applicability,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,I - Preliminary,Definitions,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,II - Role of the Regulated Entity,Regulatory and Supervisory requirements,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,II - Role of the Regulated Entity,Comprehensive assessment of need for outsourcing and attendant risks,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,II - Role of the Regulated Entity,Compliance with all applicable statutory and regulatory requirements,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,II - Role of the Regulated Entity,Grievance Redressal Mechanism,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,II - Role of the Regulated Entity,Inventory of Outsourced Services,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,III - Governance Framework,IT Outsourcing Policy,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,III - Governance Framework,Role of the Board,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,III - Governance Framework,Role of the Senior Management,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,III - Governance Framework,Role of IT Function,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,IV - Evaluation and Engagement of Service Providers,Due Diligence on Service Providers,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,IV - Evaluation and Engagement of Service Providers,Aspects to be considered,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,V - Outsourcing Agreement,Legally binding agreement,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,V - Outsourcing Agreement,Aspects to be considered in agreement,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,VI - Risk Management,Risk Management Framework,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,VI - Risk Management,Business Continuity Plan and Disaster Recovery Plan,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,VII - Monitoring and Control of Outsourced Activities,Monitoring and Control of Outsourced Activities,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,VIII - Outsourcing within a Group / Conglomerate,Outsourcing within a Group / Conglomerate,20.1 Details of outsourcing within a group or conglomerate.,20.1 Details of outsourcing within a group or conglomerate.,Compliance required,N/A,Regulated Entities,Compliance Team,Organizations are required to provide comprehensive details about their outsourcing arrangements within the group or conglomerate.,Compile and submit a report outlining all outsourcing details within the group.
IT_Outsourcing,IX - Cross- Border Outsourcing,Additional requirements for Cross -Border Outsourcing,18,18,Compliance required,N/A,Regulated Entities,Compliance Team,Entities are required to submit an annual compliance report detailing all regulatory adherence.,Prepare and submit the annual compliance report for review.
IT_Outsourcing,X - Exit Strategy,Exit Strategy,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,I - Usage of Cloud Computing Services,Usage of Cloud Computing Services,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,II - Outsourcing of Security Operations Centre,Outsourcing of Security Operations Centre,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,III - Services not considered under Outsourcing of IT Services,Services not considered under Outsourcing of IT Services,,,Compliance required,nan,Regulated Entities,Compliance Team,,
IT_Outsourcing,I - Preliminary,Short title and Commencement,"(a) These Directions shall be called the Reserve Bank of India (Outsourcing of Information Technology Services) Directions, 2023.","(a) These Directions shall be called the Reserve Bank of India (Outsourcing of Information Technology Services) Directions, 2023.",Compliance required,N/A,Regulated Entities,Compliance Team,The document outlines the Reserve Bank of India Directions for outsourcing IT services in 2023.,Review and align current IT outsourcing practices with the new Directions.
