Document ID,Chapter,Section No.,Section,Sub-Section,Summary,Action Item,Due date,Periodicity,Marked as Completed,Work Status,Role Assigned To,Document Summary,Document Action Item
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,Main Document,1,Master Direction on Outsourcing of Information Technology Services,,Entities must ensure compliance with the Master Direction on Outsourcing of Information Technology Services to manage risks and maintain service integrity.,Conduct a comprehensive risk assessment of outsourced IT services and implement necessary controls to adhere to the Master Direction.,N/A,N/A,No,Not Started,,"The ""Reserve Bank of India (Outsourcing of Information Technology Services) Directions, 2023"" aims to establish a comprehensive regulatory framework for the outsourcing of IT services by various regulated entities (REs), including banks and financial institutions. The directive outlines necessary governance structures, risk management practices, selection criteria for service providers, and compliance requirements, ensuring that outsourcing does not undermine the REs' ability to fulfill obligations to customers or impede regulatory oversight. Key requirements include the development of an IT outsourcing policy, conducting due diligence on service providers, maintaining an inventory of outsourced services, implementing robust monitoring and control systems, and ensuring legal compliance in outsourcing agreements. The directions become effective from October 1, 2023.","Develop and implement a comprehensive IT outsourcing policy that includes due diligence processes for selecting service providers, risk management frameworks, and monitoring mechanisms as required by the RBI to comply with the new guidelines by the effective date."
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,I Preliminary,1,Short title and Commencement,"- a) These Directions shall be called the Reserve Bank of India (Outsourcing of Information Technology Services) Directions, 2023 - b) These Directions shall come into effect from October 1, 2023 - I. With respect to existing outsourcing arrangements that are already in force as on the date of issuance of this Master Direction, REs shall ensure that: - i) the agreements that are due for renewal before October 1, 2023 shall comply with the provisions of these Directions as on the renewal date (preferably), but not later than 12 months from the date of issuance of this Master Direction - ii) the agreements that are due for renewal on or after October 1, 2023 shall comply with the provisions of these Directions as on the renewal date or 36 months from the date of issuance of this Master Direction whichever is earlier - II. With respect to new outsourcing arrangements, REs shall ensure that: - i) the agreements that come into force before October 1, 2023, shall comply with the provisions of these Directions as on the agreement date (preferably) but not later than 12 months from the date of issuance of this Master Direction - ii) the agreements that come into force on or after October 1, 2023, shall comply with the provisions of these Directions from the date of agreement itself.","Entities must ensure compliance with outsourcing agreements according to the Reserve Bank of India Directions, with specific timelines based on renewal and agreement dates.",Review and update existing outsourcing agreements to ensure compliance by the applicable dates.,2024-10-01,one-time,No,Not Started,,,
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,I Preliminary,2,Applicability,"- a) These Directions shall be applicable to the following entities, collectively referred to as ‘regulated entities’ or ’REs’ in these directions: - i) all Banking Companies, Corresponding New Banks and State Bank of India as defined under subsections (c), (da) and (nc) of section 5 of the Banking Regulation Act, 1949 - ii) Primary Co-operative Banks as defined under clause (ccv) of subsection 1 of section 56 of the Banking Regulation Act, 1949 - iii) Non-Banking Financial Companies as defined under clause (f) of section 45I of the Reserve Bank of India Act, 1934 - iv) Credit Information Companies as defined under clause (e) of section 2 of the Credit Information Companies (Regulation) Act, 2005 - v) All India Financial Institutions as established by the relevant Acts - b) In the case of foreign banks operating in India through branch mode, reference to the Board or Board of Directors in these Directions should be read as reference to the Head Office or controlling office.","The Directions apply to various regulated entities including Banking Companies, Non-Banking Financial Companies, and Credit Information Companies as defined under respective regulatory acts.",Ensure compliance with the Directions by identifying and documenting the applicable requirements for all relevant entities.,N/A,N/A,No,Not Started,,,
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,I Preliminary,3,Definitions,"- a) In these Directions, unless the context states otherwise, the terms herein shall bear the meanings assigned to them below: - i) ""Group” shall be as defined in the ‘Guidelines on Management of Intra-Group Transactions and Exposures’ issued vide circular DBOD.No. BP.BC.96/21.06.102/2013-14 - ii) “Material Outsourcing of IT Services” are those which: - a) if disrupted or compromised shall have the potential to significantly impact the RE’s business operations; or - b) may have material impact on the RE’s customers in the event of any unauthorised access, loss or theft of customer information - iii) “Outsourcing” shall be as defined in RBI ‘Guidelines on Managing Risks and Code of Conduct in Outsourcing of Financial Services by banks’ - iv) “Outsourcing of IT Services” shall include outsourcing of various specified activities - v) “Service Provider” means the provider of IT or IT enabled services including entities related to the RE or those which belong to the same group or conglomerate to which the RE belongs.",This section defines key terms related to outsourcing and IT services relevant to regulatory entities.,Familiarize relevant personnel with definitions to ensure compliance in outsourcing practices.,N/A,N/A,No,Not Started,,,
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,II Role of the Regulated Entity,4,Regulatory and Supervisory requirements,"- a) Outsourcing of any activity shall not diminish RE’s obligations as also of its Board and Senior Management - b) Notwithstanding whether the service provider is located in India or abroad, the REs shall ensure that the outsourcing should neither impede nor interfere with the ability of the RE to effectively oversee and manage its activities - c) REs shall ensure that the service provider, if not a group company, shall not be owned or controlled by any director, or key managerial personnel, or approver of the outsourcing arrangement of the RE - d) Additional requirements pertaining to usage of cloud computing services and outsourcing of Security Operations Center services are outlined in Appendix I and Appendix II, respectively.",Regulated Entities (REs) must ensure outsourcing does not reduce their obligations and must maintain oversight while adhering to specific ownership and additional requirements for cloud computing and Security Operations Center services.,Review and ensure compliance with outsourcing requirements and ownership restrictions outlined in the regulatory document and relevant appendices.,N/A,N/A,No,Not Started,,,
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,II Role of the Regulated Entity,5,Comprehensive assessment of need for outsourcing and attendant risks,"- REs shall evaluate the need for Outsourcing of IT Services based on comprehensive assessment of attendant benefits, risks and availability of commensurate processes to manage those risks.","Regulated Entities must comprehensively evaluate the need for outsourcing IT services, assessing the related benefits, risks, and management processes.",Conduct a comprehensive assessment of outsourcing needs for IT services and document findings.,N/A,N/A,No,Not Started,,,
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,II Role of the Regulated Entity,6,Compliance with all applicable statutory and regulatory requirements,"- The RE shall consider all relevant laws, regulations, rules, guidelines and conditions of approval, licensing or registration, when performing its due diligence in relation to outsourcing of IT services.",The Regulated Entity must take into account all relevant legal requirements when conducting due diligence for outsourcing IT services.,Review and ensure compliance with all relevant laws and regulations before outsourcing IT services.,N/A,N/A,No,Not Started,,,
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,II Role of the Regulated Entity,7,Grievance Redressal Mechanism,- a) REs shall have a robust grievance redressal mechanism that shall not be compromised - b) Outsourcing arrangements shall not affect the rights of a customer against the RE.,Regulated Entities (REs) must establish a strong grievance redressal mechanism without compromise and ensure that outsourcing does not infringe on customer rights.,Develop and implement a robust grievance redressal mechanism and review outsourcing agreements to protect customer rights.,N/A,N/A,No,Not Started,,,
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,II Role of the Regulated Entity,8,Inventory of Outsourced Services,- REs shall create an inventory of services provided by the service providers (including key entities involved in their supply chains).,Regulated entities must compile an inventory of services offered by their service providers and key supply chain entities.,Create and maintain an inventory list of all outsourced services and associated key entities.,N/A,N/A,No,Not Started,,,
IT_Outsourcing_20250526135812_3179ffca-f89a-405f-a644-25253e54c281,III Governance Framework,9,IT Outsourcing Policy,- An RE intending to outsource any of its IT activities shall put in place a comprehensive Board approved IT outsourcing policy.,Organizations intending to outsource IT activities must establish a comprehensive Board-approved IT outsourcing policy.,Develop and obtain Board approval for the IT outsourcing policy.,N/A,N/A,No,Not Started,,,
