Document ID,Chapter,Section No.,Section,Sub-Section,Summary,Action Item,Due date,Periodicity,Marked as Completed,Work Status,Role Assigned To,Document Summary,Document Action Item
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,I - Purpose,1,Purpose,"- 1.1 Operational Risk is inherent in all banking/ financial products, services, activities, processes, and systems. - 1.2 An operational disruption can threaten the viability of an RE... - 1.3 An RE needs to factor in the entire gamut of risks... - 1.4 Until recently, the predominant Operational Risks that REs faced emanated from vulnerabilities related to increasing dependence... - 1.5 In view of the foregoing, the Reserve Bank, through this Guidance Note... - 1.6 This Guidance Note updates the “Guidance Note on Management of Operational Risk” dated October 14, 2005... - 1.7 The Guidance Note has adopted a principle-based and proportionate approach... - 1.8 The operational risk regulatory capital requirements shall continue to be guided by the applicable guidelines...",The Guidance Note outlines the inherent operational risks in banking and financial services and updates the previous guidelines on managing such risks.,Review and update operational risk management frameworks in accordance with the new Guidance Note.,N/A,N/A,No,Not Started,,"The ""Guidance Note on Operational Risk Management and Operational Resilience"" issued by the Reserve Bank of India seeks to enhance the operational risk management framework of regulated entities (REs) in light of evolving risks, especially following the COVID-19 pandemic. It establishes guidelines for identifying, assessing, managing, and monitoring operational risks, emphasizing a three-lines-of-defense model involving business units, an independent operational risk management function, and an audit function. The guidance outlines responsibilities for the Board of Directors and senior management in fostering a robust risk culture, including regular risk assessments, change management, business continuity planning, incident management, and third-party risk management. It promotes operational resilience by encouraging entities to prepare, protect, and learn from operational disruptions, ensuring they can maintain critical operations. The document further specifies that compliance and governance structures must adapt to an RE's size, complexity, and risk profile, while emphasizing the significance of effective communication and reporting mechanisms. Overall, this updated guidance integrates principles of operational resilience within a comprehensive risk management framework to sustain financial stability and minimize operational disruptions.","Regulated entities must establish a comprehensive Operational Risk Management Framework (ORMF) that includes clear definitions of roles across all three lines of defense, governing procedures for regular risk assessments, incident management protocols, and detailed continuity plans. This framework should be integrated into the organization's overall risk management processes, ensuring that each component aligns with the organization's risk appetite and tolerance for disruption, while incorporating lessons learned from past disruptions to refine future resilience strategies."
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,II - Application,2,Application,- 2.1 This Guidance Note shall apply to the following REs: - 2.1.1 All Commercial Banks; - 2.1.2 All Primary (Urban) Co-operative Banks... - 2.1.3 All All-India Financial Institutions... - 2.1.4 All Non-Banking Financial Companies including Housing Finance Companies...,"This Guidance Note applies to all Commercial Banks, Primary Co-operative Banks, All-India Financial Institutions, and Non-Banking Financial Companies, including Housing Finance Companies.",Identify and confirm that your organization falls under the specified categories of regulated entities.,N/A,N/A,No,Not Started,,,
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,III - Repeal and Transitional Arrangements,3,Repeal and Transitional Arrangements,"With the issuance of this Guidance Note the “Guidance Note on Management of Operational Risk” dated October 14, 2005, stands repealed.","The previous Guidance Note on Management of Operational Risk dated October 14, 2005, is repealed with the issuance of this Guidance Note.",Review and ensure compliance with the new Guidance Note on Management of Operational Risk.,N/A,N/A,No,Not Started,,,
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,IV - Key changes,4,Key changes,Key changes carried out in this Guidance Note vis-à-vis the repealed Guidance Note are...,The section highlights updates and modifications in the new Guidance Note compared to the repealed Guidance Note.,Review and document the key changes presented in this Guidance Note.,N/A,N/A,No,Not Started,,,
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,V - Index,5,Index,Sr. No. Subject Page No.,This section serves as a reference guide providing subject matter and corresponding page numbers in the regulatory document.,Review the index to locate relevant sections for compliance review.,N/A,N/A,No,Not Started,,,
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,VI - Preliminary - Introduction and Background,1,Preliminary,"- 1.1 Introduction - 1.1.1 The global financial crisis greatly impacted financial stability around the world... - 1.1.2 The BCBS recognized Operational Risk as a distinct class of risk in 2001... - 1.1.3 Subsequently, the onset of Covid-19 pandemic created disruptions affecting information systems... - 1.1.4 In light of the same, BCBS felt that further work was necessary to strengthen banks’ ability...",The BCBS identified further measures are needed to enhance banks' resilience against operational risks exacerbated by events like the global financial crisis and the Covid-19 pandemic.,Assess and develop strategies to strengthen operational risk frameworks in compliance with BCBS guidelines.,N/A,N/A,No,Not Started,,,
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,VI - Definitions,2,Definitions,"- 2.1 “Business unit” is responsible for identifying and managing the risks... - 2.2 “Critical operations” refers to critical functions... - 2.3 “Event management” is the process of identification, analysis... - 2.4 “Incidents” are current or past disruptive events... - 2.5 “Information and Communication Technology” refers to... - (continues for subsections 2.6 through 2.16)",This section provides definitions for key concepts related to risk management and operational resilience within the organization.,Ensure all relevant personnel understand and can apply these definitions in risk assessments and planning.,N/A,N/A,No,Not Started,,,
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,VII - Three lines of defence for management of Operational Risk,3,Three lines of defence for management of Operational Risk,"- 3.1 Sound internal governance forms the foundation of an effective ORMF... - 3.2 As a part of their ORMF, REs shall rely on three lines of defence... - 3.3 REs should ensure that each line of defence...",Organizations must establish a robust operational risk management framework (ORMF) supported by a sound internal governance and clearly defined roles for three lines of defence.,Develop and document an ORMF with defined governance structures and three lines of defence roles.,N/A,N/A,No,Not Started,,,
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,VIII - Governance and Risk Culture,4,Governance and Risk Culture,"- Principle 1- The Board of Directors should take the lead in establishing a strong risk management culture... - Principle 2- REs should develop, implement and maintain an ORMF...","The Board of Directors must lead in establishing a strong risk management culture, and regulated entities should develop, implement, and maintain an Organizational Risk Management Framework (ORMF).","Draft and implement an ORMF, ensuring Board involvement in risk management culture establishment.",N/A,ongoing,No,Not Started,,,
Operational_Resilience_20250525193451_4d78e9fa-a9de-4406-af39-2f52d78523c2,IX - Responsibilities of Board of Directors and Senior Management,5,Responsibilities of Board of Directors and Senior Management,- Principle 3- The Board of Directors should approve and periodically review the ORMF... - Principle 4- The Board of Directors should approve and periodically review a risk appetite and tolerance statement...,The Board of Directors is required to approve and regularly evaluate both the Operational Risk Management Framework (ORMF) and a risk appetite and tolerance statement.,Schedule and conduct a review meeting for the ORMF and risk appetite statement.,N/A,periodic review,No,Not Started,,,
